date,year,month,week,quarter,day_of_year,commodity,category,market,price_type,province,season,monsoon,is_festive,inflation_index,seasonal_factor,price_lkr
2019-01-07,2019,1,2,1,7,Tomato,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,0.75,74.22
2019-01-07,2019,1,2,1,7,Tomato,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,0.75,57.2
2019-01-07,2019,1,2,1,7,Tomato,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,0.75,96.5
2019-01-07,2019,1,2,1,7,Tomato,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,0.75,78.09
2019-01-07,2019,1,2,1,7,Tomato,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,0.75,94.14
2019-01-07,2019,1,2,1,7,Carrot,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,0.842,93.92
2019-01-07,2019,1,2,1,7,Carrot,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,0.842,101.62
2019-01-07,2019,1,2,1,7,Carrot,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,0.842,135.23
2019-01-07,2019,1,2,1,7,Carrot,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,0.842,81.36
2019-01-07,2019,1,2,1,7,Carrot,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,0.842,142.15
2019-01-07,2019,1,2,1,7,Cabbage,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,0.75,48.51
2019-01-07,2019,1,2,1,7,Cabbage,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,0.75,40.73
2019-01-07,2019,1,2,1,7,Cabbage,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,0.75,68.97
2019-01-07,2019,1,2,1,7,Cabbage,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,0.75,33.18
2019-01-07,2019,1,2,1,7,Cabbage,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,0.75,60.38
2019-01-07,2019,1,2,1,7,Beans,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,1.208,157.89
2019-01-07,2019,1,2,1,7,Beans,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,1.208,125.79
2019-01-07,2019,1,2,1,7,Beans,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,1.208,221.72
2019-01-07,2019,1,2,1,7,Beans,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,1.208,135.77
2019-01-07,2019,1,2,1,7,Beans,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,1.208,211.21
2019-01-07,2019,1,2,1,7,Brinjal,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,0.933,114.55
2019-01-07,2019,1,2,1,7,Brinjal,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,0.933,79.34
2019-01-07,2019,1,2,1,7,Brinjal,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,0.933,126.41
2019-01-07,2019,1,2,1,7,Brinjal,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,0.933,69.49
2019-01-07,2019,1,2,1,7,Brinjal,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,0.933,128.57
2019-01-07,2019,1,2,1,7,Snake Gourd,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,1.208,98.24
2019-01-07,2019,1,2,1,7,Snake Gourd,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,1.208,72.61
2019-01-07,2019,1,2,1,7,Snake Gourd,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,1.208,129.74
2019-01-07,2019,1,2,1,7,Snake Gourd,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,1.208,82.29
2019-01-07,2019,1,2,1,7,Snake Gourd,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,1.208,133.63
2019-01-07,2019,1,2,1,7,Pumpkin,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,1.117,66.42
2019-01-07,2019,1,2,1,7,Pumpkin,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,1.117,73.0
2019-01-07,2019,1,2,1,7,Pumpkin,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,1.117,91.72
2019-01-07,2019,1,2,1,7,Pumpkin,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,1.117,56.16
2019-01-07,2019,1,2,1,7,Pumpkin,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,1.117,104.64
2019-01-07,2019,1,2,1,7,Green Chilli,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,1.025,201.57
2019-01-07,2019,1,2,1,7,Green Chilli,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,1.025,206.24
2019-01-07,2019,1,2,1,7,Green Chilli,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,1.025,251.6
2019-01-07,2019,1,2,1,7,Green Chilli,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,1.025,174.99
2019-01-07,2019,1,2,1,7,Green Chilli,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,1.025,335.56
2019-01-07,2019,1,2,1,7,Lime,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,1.025,230.27
2019-01-07,2019,1,2,1,7,Lime,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,1.025,184.55
2019-01-07,2019,1,2,1,7,Lime,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,1.025,272.99
2019-01-07,2019,1,2,1,7,Lime,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,1.025,183.58
2019-01-07,2019,1,2,1,7,Lime,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,1.025,260.82
2019-01-07,2019,1,2,1,7,Leeks,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,0.842,96.39
2019-01-07,2019,1,2,1,7,Leeks,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,0.842,84.05
2019-01-07,2019,1,2,1,7,Leeks,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,0.842,153.21
2019-01-07,2019,1,2,1,7,Leeks,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,0.842,100.63
2019-01-07,2019,1,2,1,7,Leeks,Vegetable,Colombo Local,Retail,Western,Maha,0,1,1.0,0.842,124.38
2019-01-07,2019,1,2,1,7,Capsicum,Vegetable,Manning Market,Wholesale,Western,Maha,0,1,1.0,0.933,278.54
2019-01-07,2019,1,2,1,7,Capsicum,Vegetable,Dambulla,Wholesale,Central,Maha,0,1,1.0,0.933,215.95
2019-01-07,2019,1,2,1,7,Capsicum,Vegetable,Narahenpita,Retail,Western,Maha,0,1,1.0,0.933,327.51
2019-01-07,2019,1,2,1,7,Capsicum,Vegetable,Nuwara Eliya,Wholesale,Central,Maha,0,1,1.0,0.933,260.77
